,userId,user_count,movieId,title,year,rating,genres,user_rank
0,534,2,112897,The Expendables 3 (2014),2014.0,4.0,Action|Adventure,1
1,567,1,112911,Hercules (2014),2014.0,1.5,Action|Adventure,2
2,509,1,129229,Northmen - A Viking Saga (2014),2014.0,2.0,Action|Adventure,3
3,610,1,112175,How to Train Your Dragon 2 (2014),2014.0,5.0,Action|Adventure|Animation,1
4,567,1,112175,How to Train Your Dragon 2 (2014),2014.0,2.5,Action|Adventure|Animation,2
5,551,1,112175,How to Train Your Dragon 2 (2014),2014.0,3.5,Action|Adventure|Animation,3
6,89,1,111146,Alpha and Omega 3: The Great Wolf Games (2014),2014.0,4.5,Action|Adventure|Animation|Children|Comedy,1
7,610,1,108932,The Lego Movie (2014),2014.0,4.0,Action|Adventure|Animation|Children|Comedy|Fantasy,1
8,596,1,108932,The Lego Movie (2014),2014.0,3.5,Action|Adventure|Animation|Children|Comedy|Fantasy,2
9,586,1,108932,The Lego Movie (2014),2014.0,4.5,Action|Adventure|Animation|Children|Comedy|Fantasy,3
10,586,1,111659,Maleficent (2014),2014.0,3.0,Action|Adventure|Children|IMAX,1
11,564,1,111659,Maleficent (2014),2014.0,1.0,Action|Adventure|Children|IMAX,2
12,563,1,111659,Maleficent (2014),2014.0,3.5,Action|Adventure|Children|IMAX,3
13,610,1,113348,Teenage Mutant Ninja Turtles (2014),2014.0,2.5,Action|Adventure|Comedy,1
14,448,1,113348,Teenage Mutant Ninja Turtles (2014),2014.0,2.0,Action|Adventure|Comedy,2
15,380,1,113348,Teenage Mutant Ninja Turtles (2014),2014.0,3.0,Action|Adventure|Comedy,3
16,448,2,116887,Exodus: Gods and Kings (2014),2014.0,2.0,Action|Adventure|Drama,1
17,382,1,116887,Exodus: Gods and Kings (2014),2014.0,3.5,Action|Adventure|Drama,2
18,210,1,123553,In the Name of the King III (2014),2014.0,1.0,Action|Adventure|Drama|Fantasy,1
19,448,4,111362,X-Men: Days of Future Past (2014),2014.0,3.0,Action|Adventure|Sci-Fi,1
20,567,3,111362,X-Men: Days of Future Past (2014),2014.0,3.0,Action|Adventure|Sci-Fi,2
21,534,3,111362,X-Men: Days of Future Past (2014),2014.0,3.5,Action|Adventure|Sci-Fi,3
22,610,2,110102,Captain America: The Winter Soldier (2014),2014.0,4.5,Action|Adventure|Sci-Fi|IMAX,1
23,567,2,110102,Captain America: The Winter Soldier (2014),2014.0,3.5,Action|Adventure|Sci-Fi|IMAX,2
24,448,2,110102,Captain America: The Winter Soldier (2014),2014.0,3.5,Action|Adventure|Sci-Fi|IMAX,3
25,610,1,115617,Big Hero 6 (2014),2014.0,4.0,Action|Animation|Comedy,1
26,601,1,115617,Big Hero 6 (2014),2014.0,4.5,Action|Animation|Comedy,2
27,599,1,115617,Big Hero 6 (2014),2014.0,2.0,Action|Animation|Comedy,3
28,380,1,113278,Batman: Assault on Arkham (2014),2014.0,3.0,Action|Animation|Crime|Thriller,1
29,564,2,108156,Ride Along (2014),2014.0,4.0,Action|Comedy,1
30,448,2,108156,Ride Along (2014),2014.0,2.0,Action|Comedy,2
31,365,2,108156,Ride Along (2014),2014.0,3.0,Action|Comedy,3
32,448,3,112138,22 Jump Street (2014),2014.0,4.0,Action|Comedy|Crime,1
33,249,2,112138,22 Jump Street (2014),2014.0,4.0,Action|Comedy|Crime,2
34,21,2,112138,22 Jump Street (2014),2014.0,3.5,Action|Comedy|Crime,3
35,610,2,111663,Zombeavers (2014),2014.0,3.5,Action|Comedy|Horror,1
36,534,1,116668,Dead Snow 2: Red vs. Dead (2014) ,2014.0,3.5,Action|Comedy|Horror,2
37,448,1,111663,Zombeavers (2014),2014.0,1.5,Action|Comedy|Horror,3
38,448,1,115151,Plastic (2014),2014.0,2.0,Action|Crime,1
39,448,3,110826,Brick Mansions (2014),2014.0,1.5,Action|Crime|Drama,1
40,567,1,109569,3 Days to Kill (2014),2014.0,0.5,Action|Crime|Drama,2
41,365,1,109569,3 Days to Kill (2014),2014.0,1.5,Action|Crime|Drama,3
42,534,1,109850,Need for Speed (2014),2014.0,4.0,Action|Crime|Drama|IMAX,1
43,305,1,109850,Need for Speed (2014),2014.0,3.5,Action|Crime|Drama|IMAX,2
44,448,1,132618,Kite (2014),2014.0,1.5,Action|Crime|Drama|Mystery|Thriller,1
45,610,1,138632,Tokyo Tribe (2014),2014.0,5.0,Action|Crime|Drama|Sci-Fi,1
46,305,1,114246,"Walk Among the Tombstones, A (2014)",2014.0,3.0,Action|Crime|Mystery|Thriller,1
47,599,1,108945,RoboCop (2014),2014.0,2.5,Action|Crime|Sci-Fi|IMAX,1
48,567,1,108945,RoboCop (2014),2014.0,1.5,Action|Crime|Sci-Fi|IMAX,2
49,534,1,108945,RoboCop (2014),2014.0,1.5,Action|Crime|Sci-Fi|IMAX,3
50,610,3,110501,The Raid 2: Berandal (2014),2014.0,5.0,Action|Crime|Thriller,1
51,599,2,110501,The Raid 2: Berandal (2014),2014.0,3.0,Action|Crime|Thriller,2
